Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,2L,2L3-1/2X3X5/16LLBB,–,–,–,–,–,–,3.9,3,–,–,–,–,–,–,–,13.2,–,–,–,–,–,4.66,3.44,1.9,1.09,1.05,0.38,5.62,3.11,1.87,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,11.2,–,1.85,0.77,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X5/16X3/8LLBB,–,–,–,–,–,–,3.9,3,–,–,–,–,–,–,–,13.2,–,–,–,–,–,4.66,3.44,1.9,1.09,1.05,0.38,6.9,3.84,2.16,1.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,11.2,–,1.94,0.79,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X5/16X3/4LLBB,–,–,–,–,–,–,3.9,3,–,–,–,–,–,–,–,13.2,–,–,–,–,–,4.66,3.44,1.9,1.09,1.05,0.38,8.54,4.57,2.53,1.48,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,11.2,–,2.04,0.811,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X1/4LLBB,–,–,–,–,–,–,3.16,3,–,–,–,–,–,–,–,10.8,–,–,–,–,–,3.84,2.78,1.55,1.1,1.02,0.34,4.47,2.44,1.49,1.19,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,14,–,1.85,0.767,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X1/4X3/8LLBB,–,–,–,–,–,–,3.16,3,–,–,–,–,–,–,–,10.8,–,–,–,–,–,3.84,2.78,1.55,1.1,1.02,0.34,5.51,3.04,1.73,1.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,14,–,1.94,0.787,–,–,–,–,–,–,–,–,–,0.965,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X3X1/4X3/4LLBB,–,–,–,–,–,–,3.16,3,–,–,–,–,–,–,–,10.8,–,–,–,–,–,3.84,2.78,1.55,1.1,1.02,0.34,6.74,3.63,2,1.46,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,14,–,2.04,0.807,–,–,–,–,–,–,–,–,–,0.965,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X1/2LLBB,–,–,–,–,–,–,5.54,2.5,–,–,–,–,–,–,–,18.8,–,–,–,–,–,6.48,5.04,2.82,1.08,1.2,0.73,5.45,3.88,2.18,0.992,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7,–,1.75,0.706,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X1/2X3/8LLBB,–,–,–,–,–,–,5.54,2.5,–,–,–,–,–,–,–,18.8,–,–,–,–,–,6.48,5.04,2.82,1.08,1.2,0.73,7.07,4.92,2.63,1.13,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7,–,1.83,0.732,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X1/2X3/4LLBB,–,–,–,–,–,–,5.54,2.5,–,–,–,–,–,–,–,18.8,–,–,–,–,–,6.48,5.04,2.82,1.08,1.2,0.73,9.08,5.96,3.16,1.28,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,7,–,1.93,0.759,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X3/8LLBB,–,–,–,–,–,–,4.24,2.5,–,–,–,–,–,–,–,14.4,–,–,–,–,–,5.12,3.92,2.18,1.1,1.15,0.673,3.99,2.78,1.6,0.97,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,9.33,–,1.75,0.698,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X3/8X3/8LLBB,–,–,–,–,–,–,4.24,2.5,–,–,–,–,–,–,–,14.4,–,–,–,–,–,5.12,3.92,2.18,1.1,1.15,0.673,5.22,3.57,1.94,1.11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,9.33,–,1.83,0.724,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X3/8X3/4LLBB,–,–,–,–,–,–,4.24,2.5,–,–,–,–,–,–,–,14.4,–,–,–,–,–,5.12,3.92,2.18,1.1,1.15,0.673,6.63,4.37,2.31,1.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,9.33,–,1.93,0.75,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X5/16LLBB,–,–,–,–,–,–,3.58,2.5,–,–,–,–,–,–,–,12.2,–,–,–,–,–,4.4,3.34,1.85,1.11,1.13,0.636,3.3,2.26,1.32,0.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,11.2,–,1.76,0.695,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X5/16X3/8LLBB,–,–,–,–,–,–,3.58,2.5,–,–,–,–,–,–,–,12.2,–,–,–,–,–,4.4,3.34,1.85,1.11,1.13,0.636,4.25,2.93,1.58,1.09,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,11.2,–,1.83,0.72,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X5/16X3/4LLBB,–,–,–,–,–,–,3.58,2.5,–,–,–,–,–,–,–,12.2,–,–,–,–,–,4.4,3.34,1.85,1.11,1.13,0.636,5.5,3.61,1.91,1.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,11.2,–,1.92,0.746,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X1/4LLBB,–,–,–,–,–,–,2.9,2.5,–,–,–,–,–,–,–,9.8,–,–,–,–,–,3.62,2.72,1.51,1.12,1.1,0.6,2.62,1.76,1.05,0.95,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,14,–,1.76,0.693,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X1/4X3/8LLBB,–,–,–,–,–,–,2.9,2.5,–,–,–,–,–,–,–,9.8,–,–,–,–,–,3.62,2.72,1.51,1.12,1.1,0.6,3.38,2.3,1.26,1.08,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,14,–,1.83,0.717,–,–,–,–,–,–,–,–,–,0.965,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3-1/2X2-1/2X1/4X3/4LLBB,–,–,–,–,–,–,2.9,2.5,–,–,–,–,–,–,–,9.8,–,–,–,–,–,3.62,2.72,1.51,1.12,1.1,0.6,4.32,2.85,1.5,1.22,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.5,–,–,–,–,–,–,–,–,14,–,1.92,0.742,–,–,–,–,–,–,–,–,–,0.965,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X1/2LLBB,–,–,–,–,–,–,5,2.5,–,–,–,–,–,–,–,17,–,–,–,–,–,4.14,3.72,2.06,0.91,0.995,0.5,5.41,3.73,2.16,1.04,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6,–,1.57,0.774,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X1/2X3/8LLBB,–,–,–,–,–,–,5,2.5,–,–,–,–,–,–,–,17,–,–,–,–,–,4.14,3.72,2.06,0.91,0.995,0.5,6.96,4.67,2.59,1.18,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6,–,1.66,0.8,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X1/2X3/4LLBB,–,–,–,–,–,–,5,2.5,–,–,–,–,–,–,–,17,–,–,–,–,–,4.14,3.72,2.06,0.91,0.995,0.5,8.84,5.6,3.07,1.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6,–,1.78,0.824,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X7/16LLBB,–,–,–,–,–,–,4.44,2.5,–,–,–,–,–,–,–,15.2,–,–,–,–,–,3.74,3.32,1.84,0.917,0.972,0.463,4.62,3.21,1.85,1.02,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6.85,–,1.57,0.769,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X7/16X3/8LLBB,–,–,–,–,–,–,4.44,2.5,–,–,–,–,–,–,–,15.2,–,–,–,–,–,3.74,3.32,1.84,0.917,0.972,0.463,5.97,4.05,2.22,1.16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6.85,–,1.66,0.795,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X7/16X3/4LLBB,–,–,–,–,–,–,4.44,2.5,–,–,–,–,–,–,–,15.2,–,–,–,–,–,3.74,3.32,1.84,0.917,0.972,0.463,7.74,4.88,2.69,1.32,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.438,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6.85,–,1.77,0.819,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X3/8LLBB,–,–,–,–,–,–,3.86,2.5,–,–,–,–,–,–,–,13.2,–,–,–,–,–,3.3,2.9,1.61,0.924,0.949,0.427,3.94,2.71,1.58,1.01,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,8,–,1.57,0.764,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X3/8X3/8LLBB,–,–,–,–,–,–,3.86,2.5,–,–,–,–,–,–,–,13.2,–,–,–,–,–,3.3,2.9,1.61,0.924,0.949,0.427,5.1,3.43,1.9,1.15,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,8,–,1.66,0.79,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X3/8X3/4LLBB,–,–,–,–,–,–,3.86,2.5,–,–,–,–,–,–,–,13.2,–,–,–,–,–,3.3,2.9,1.61,0.924,0.949,0.427,6.52,4.15,2.27,1.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.375,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,8,–,1.77,0.815,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X5/16LLBB,–,–,–,–,–,–,3.26,2.5,–,–,–,–,–,–,–,11.2,–,–,–,–,–,2.82,2.46,1.36,0.932,0.925,0.392,3.26,2.21,1.3,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,9.58,–,1.57,0.76,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X5/16X3/8LLBB,–,–,–,–,–,–,3.26,2.5,–,–,–,–,–,–,–,11.2,–,–,–,–,–,2.82,2.46,1.36,0.932,0.925,0.392,4.24,2.82,1.58,1.14,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,9.58,–,1.66,0.785,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X5/16X3/4LLBB,–,–,–,–,–,–,3.26,2.5,–,–,–,–,–,–,–,11.2,–,–,–,–,–,2.82,2.46,1.36,0.932,0.925,0.392,5.42,3.43,1.89,1.29,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.313,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,9.58,–,1.76,0.81,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X1/4LLBB,–,–,–,–,–,–,2.64,2.5,–,–,–,–,–,–,–,9,–,–,–,–,–,2.32,2,1.11,0.94,0.9,0.36,2.59,1.72,1.04,0.991,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,12,–,1.57,0.756,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X1/4X3/8LLBB,–,–,–,–,–,–,2.64,2.5,–,–,–,–,–,–,–,9,–,–,–,–,–,2.32,2,1.11,0.94,0.9,0.36,3.31,2.22,1.23,1.12,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,12,–,1.66,0.781,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X1/4X3/4LLBB,–,–,–,–,–,–,2.64,2.5,–,–,–,–,–,–,–,9,–,–,–,–,–,2.32,2,1.11,0.94,0.9,0.36,4.26,2.71,1.48,1.27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,12,–,1.76,0.806,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X3/16LLBB,–,–,–,–,–,–,2,2.5,–,–,–,–,–,–,–,6.78,–,–,–,–,–,1.8,1.52,0.846,0.947,0.874,0.333,1.92,1.25,0.768,0.98,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.188,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,16,–,1.57,0.753,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X3/16X3/8LLBB,–,–,–,–,–,–,2,2.5,–,–,–,–,–,–,–,6.78,–,–,–,–,–,1.8,1.52,0.846,0.947,0.874,0.333,2.46,1.63,0.915,1.11,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.188,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,16,–,1.65,0.778,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2-1/2X3/16X3/4LLBB,–,–,–,–,–,–,2,2.5,–,–,–,–,–,–,–,6.78,–,–,–,–,–,1.8,1.52,0.846,0.947,0.874,0.333,3.13,2,1.09,1.25,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.188,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,16,–,1.75,0.802,–,–,–,–,–,–,–,–,–,0.912,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
14th,–,2L,2L3X2X1/2LLBB,–,–,–,–,–,–,4.52,2,–,–,–,–,–,–,–,15.4,–,–,–,–,–,3.84,3.56,2,0.922,1.08,0.74,2.86,2.62,1.43,0.795,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3,–,–,–,–,–,–,–,–,6,–,1.47,0.684,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
